epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.0651,0.9804,4.40864,1.5096,0.02987,0.72144,0.13132,0.09996,0.90044,3.40102,1.67531,6.64188e-05,6.64188e-05,6.64188e-05
2,88.0873,0.86358,3.52026,1.36437,0.47589,0.48755,0.5536,0.41649,1.0109,1.90236,1.7848,0.000131768,0.000131768,0.000131768
3,128.099,0.82459,2.26617,1.31567,0.77775,0.77344,0.84661,0.63534,0.99134,1.11503,1.76304,0.000195797,0.000195797,0.000195797
4,166.985,0.76588,1.66036,1.2732,0.85318,0.89739,0.93456,0.68678,1.01351,0.84618,1.78549,0.00019406,0.00019406,0.00019406
5,205.956,0.68943,1.29879,1.21554,0.94972,0.92155,0.93454,0.68444,1.00365,0.68755,1.75957,0.00019208,0.00019208,0.00019208
6,243.675,0.65553,1.10551,1.19342,0.88195,0.92589,0.9384,0.66577,1.08168,0.72057,1.78629,0.0001901,0.0001901,0.0001901
7,282.283,0.62185,0.98049,1.16573,0.90705,0.91433,0.94625,0.68726,1.01219,0.65578,1.80112,0.00018812,0.00018812,0.00018812
8,320.68,0.59179,0.88078,1.1455,0.93835,0.91077,0.94793,0.71552,0.92561,0.58199,1.64449,0.00018614,0.00018614,0.00018614
9,358.197,0.57846,0.84134,1.13364,0.9534,0.93181,0.94309,0.69372,0.94957,0.5782,1.67412,0.00018416,0.00018416,0.00018416
10,396.564,0.56281,0.78314,1.12395,0.9457,0.93217,0.96131,0.62226,1.17392,0.69365,2.0364,0.00018218,0.00018218,0.00018218
11,436.727,0.54375,0.73291,1.11081,0.95602,0.92581,0.95272,0.7173,0.91001,0.51969,1.64061,0.0001802,0.0001802,0.0001802
12,476.125,0.52956,0.69154,1.10029,0.93733,0.93003,0.93979,0.72995,0.8472,0.50097,1.6019,0.00017822,0.00017822,0.00017822
13,514.64,0.51631,0.67216,1.09038,0.90121,0.98028,0.98029,0.73188,0.89353,0.51405,1.58187,0.00017624,0.00017624,0.00017624
14,552.156,0.51537,0.65012,1.08985,0.94328,0.92242,0.94651,0.69249,0.98559,0.53164,1.74601,0.00017426,0.00017426,0.00017426
15,589.692,0.50021,0.60617,1.08495,0.91417,0.922,0.95352,0.70572,0.9495,0.54513,1.68936,0.00017228,0.00017228,0.00017228
16,626.33,0.48706,0.57636,1.07179,0.96359,0.93588,0.97095,0.7169,0.93266,0.50888,1.64813,0.0001703,0.0001703,0.0001703
17,664.097,0.47877,0.55812,1.064,0.95622,0.91924,0.96472,0.73104,0.88284,0.50539,1.62635,0.00016832,0.00016832,0.00016832
18,701.466,0.46908,0.54852,1.06107,0.96657,0.93583,0.96649,0.74158,0.85763,0.47597,1.55929,0.00016634,0.00016634,0.00016634
19,742.511,0.4632,0.52643,1.05676,0.88235,0.98441,0.97304,0.74023,0.84788,0.4585,1.55769,0.00016436,0.00016436,0.00016436
20,780.216,0.45159,0.5036,1.04616,0.94833,0.95106,0.97174,0.73543,0.86384,0.46403,1.59353,0.00016238,0.00016238,0.00016238
21,820.569,0.44776,0.48871,1.046,0.93835,0.94076,0.968,0.73477,0.8796,0.48709,1.60153,0.0001604,0.0001604,0.0001604
22,859.043,0.45082,0.49857,1.0518,0.96063,0.92731,0.96242,0.74275,0.84178,0.44891,1.56581,0.00015842,0.00015842,0.00015842
23,896.034,0.43673,0.46692,1.04107,0.92643,0.9849,0.98388,0.75141,0.85826,0.43661,1.57439,0.00015644,0.00015644,0.00015644
24,933.263,0.43267,0.4507,1.03704,0.95737,0.9468,0.96493,0.73185,0.86368,0.44788,1.57966,0.00015446,0.00015446,0.00015446
25,970.087,0.42782,0.44613,1.03629,0.93565,0.94893,0.97214,0.71651,0.91788,0.44993,1.66289,0.00015248,0.00015248,0.00015248
26,1007.01,0.42102,0.42778,1.02837,0.96211,0.94137,0.97707,0.7397,0.87751,0.42669,1.59013,0.0001505,0.0001505,0.0001505
27,1044,0.4281,0.42484,1.0418,0.97547,0.94049,0.97863,0.73652,0.87428,0.42136,1.59338,0.00014852,0.00014852,0.00014852
28,1081.06,0.4143,0.41505,1.02687,0.96914,0.97467,0.98762,0.7662,0.82778,0.40239,1.53629,0.00014654,0.00014654,0.00014654
29,1118.74,0.42193,0.40275,1.03234,0.97885,0.95493,0.97712,0.73576,0.88699,0.41605,1.6063,0.00014456,0.00014456,0.00014456
30,1158.15,0.39957,0.38985,1.01856,0.9799,0.93433,0.96774,0.73934,0.84887,0.42334,1.56209,0.00014258,0.00014258,0.00014258
31,1198.79,0.40787,0.3995,1.02192,0.96438,0.95683,0.9814,0.75385,0.84531,0.39336,1.56914,0.0001406,0.0001406,0.0001406
32,1235.14,0.39572,0.37852,1.01311,0.92374,0.97443,0.97811,0.73913,0.85317,0.41249,1.61639,0.00013862,0.00013862,0.00013862
33,1271.03,0.39548,0.37775,1.01782,0.94701,0.98061,0.98488,0.745,0.88374,0.41534,1.6038,0.00013664,0.00013664,0.00013664
34,1306.99,0.3901,0.36525,1.01202,0.9495,0.97648,0.98391,0.74942,0.86861,0.40244,1.60339,0.00013466,0.00013466,0.00013466
35,1342.77,0.39375,0.37145,1.02264,0.89432,0.97443,0.98021,0.75973,0.8116,0.40592,1.52344,0.00013268,0.00013268,0.00013268
36,1379.2,0.38595,0.36213,1.00869,0.94546,0.94534,0.97531,0.75527,0.84671,0.39084,1.54621,0.0001307,0.0001307,0.0001307
37,1415.53,0.37531,0.34708,1.00235,0.93649,0.94924,0.97673,0.73121,0.89557,0.41887,1.61483,0.00012872,0.00012872,0.00012872
38,1451.81,0.38505,0.34774,1.01133,0.97013,0.94316,0.97157,0.7483,0.81439,0.39223,1.50834,0.00012674,0.00012674,0.00012674
39,1488.45,0.36793,0.33218,1.00017,0.95674,0.93918,0.96808,0.73415,0.85435,0.41753,1.54893,0.00012476,0.00012476,0.00012476
40,1526.23,0.37692,0.33696,1.00444,0.96515,0.95377,0.98487,0.74995,0.84286,0.38998,1.53766,0.00012278,0.00012278,0.00012278
41,1563.84,0.37063,0.32776,1.00164,0.90129,0.98723,0.98867,0.74238,0.90328,0.40508,1.62372,0.0001208,0.0001208,0.0001208
42,1601.13,0.36237,0.32216,0.99605,0.93184,0.95893,0.97023,0.75728,0.84526,0.38013,1.55139,0.00011882,0.00011882,0.00011882
43,1637.49,0.36585,0.32159,0.99731,0.9783,0.93474,0.98705,0.76767,0.81146,0.37171,1.51447,0.00011684,0.00011684,0.00011684
44,1674.95,0.36544,0.32745,1.00326,0.97256,0.9363,0.97322,0.75079,0.83873,0.39523,1.54136,0.00011486,0.00011486,0.00011486
45,1711.75,0.3597,0.31424,0.99499,0.92563,0.98151,0.98959,0.76696,0.8142,0.35861,1.53167,0.00011288,0.00011288,0.00011288
46,1748.08,0.36112,0.31496,0.99827,0.94017,0.96213,0.96547,0.74635,0.83667,0.38065,1.54488,0.0001109,0.0001109,0.0001109
47,1784,0.35979,0.31379,0.99616,0.94025,0.95438,0.97452,0.75572,0.82335,0.36856,1.53946,0.00010892,0.00010892,0.00010892
48,1819.75,0.34387,0.29907,0.98373,0.91379,0.98504,0.98574,0.76002,0.81625,0.37221,1.49729,0.00010694,0.00010694,0.00010694
49,1856.23,0.34795,0.29273,0.98627,0.93123,0.98188,0.98368,0.76012,0.84304,0.38199,1.55131,0.00010496,0.00010496,0.00010496
50,1894.03,0.33584,0.29625,0.97898,0.90511,0.98557,0.98887,0.77022,0.80233,0.36395,1.50881,0.00010298,0.00010298,0.00010298
51,1932.15,0.34576,0.29168,0.99298,0.93959,0.97501,0.98616,0.77041,0.81276,0.37232,1.514,0.000101,0.000101,0.000101
52,1969.5,0.33234,0.29251,0.97815,0.95645,0.94986,0.97546,0.76116,0.82574,0.36747,1.53385,9.902e-05,9.902e-05,9.902e-05
53,2006.13,0.34181,0.28216,0.98232,0.97516,0.93108,0.97191,0.76525,0.78985,0.36587,1.48064,9.704e-05,9.704e-05,9.704e-05
54,2042.47,0.33653,0.28761,0.97903,0.97856,0.93056,0.96024,0.75969,0.79709,0.36689,1.48977,9.506e-05,9.506e-05,9.506e-05
55,2079.34,0.3359,0.28484,0.98189,0.8986,0.99191,0.97595,0.76771,0.80734,0.36002,1.51453,9.308e-05,9.308e-05,9.308e-05
56,2116.59,0.33567,0.2773,0.98741,0.97628,0.94415,0.97102,0.76386,0.80222,0.36573,1.48931,9.11e-05,9.11e-05,9.11e-05
57,2153.21,0.32679,0.27553,0.97617,0.97486,0.93032,0.97015,0.76919,0.76903,0.35824,1.452,8.912e-05,8.912e-05,8.912e-05
58,2190.41,0.3239,0.2671,0.97255,0.977,0.93331,0.96753,0.75372,0.81042,0.36507,1.51486,8.714e-05,8.714e-05,8.714e-05
59,2228.38,0.3272,0.26811,0.97492,0.9619,0.94354,0.98099,0.77891,0.77312,0.34956,1.45581,8.516e-05,8.516e-05,8.516e-05
60,2267,0.32033,0.26354,0.97313,0.97321,0.94863,0.98671,0.77064,0.78911,0.34758,1.48551,8.318e-05,8.318e-05,8.318e-05
61,2305.09,0.32041,0.26499,0.97101,0.93186,0.97911,0.98304,0.77322,0.79185,0.34322,1.50788,8.12e-05,8.12e-05,8.12e-05
62,2341.61,0.31932,0.26067,0.97133,0.96268,0.97229,0.98062,0.77345,0.79717,0.35761,1.49972,7.922e-05,7.922e-05,7.922e-05
63,2377.74,0.31756,0.25912,0.96977,0.9403,0.98073,0.97995,0.77242,0.79226,0.35877,1.49657,7.724e-05,7.724e-05,7.724e-05
64,2414.24,0.31666,0.26013,0.97135,0.95946,0.96543,0.97786,0.76137,0.80009,0.36387,1.49063,7.526e-05,7.526e-05,7.526e-05
65,2451.76,0.30772,0.25022,0.96707,0.9076,0.98965,0.98302,0.77365,0.79104,0.34583,1.48495,7.328e-05,7.328e-05,7.328e-05
66,2489.09,0.30902,0.25803,0.96711,0.96871,0.96927,0.98115,0.77623,0.78643,0.34383,1.49266,7.13e-05,7.13e-05,7.13e-05
67,2526.34,0.30981,0.25111,0.96625,0.95329,0.97572,0.98673,0.7805,0.77807,0.3435,1.48157,6.932e-05,6.932e-05,6.932e-05
68,2564.2,0.30813,0.25257,0.96237,0.94401,0.98178,0.98712,0.78161,0.77346,0.3345,1.48297,6.734e-05,6.734e-05,6.734e-05
69,2603.21,0.3059,0.24445,0.96115,0.9771,0.96009,0.99271,0.78844,0.78097,0.34242,1.47302,6.536e-05,6.536e-05,6.536e-05
70,2641.16,0.30654,0.24695,0.96298,0.95342,0.97451,0.98585,0.77731,0.79541,0.34875,1.48521,6.338e-05,6.338e-05,6.338e-05
71,2679.08,0.30634,0.24353,0.9648,0.91938,0.97861,0.98414,0.77621,0.7904,0.36039,1.47993,6.14e-05,6.14e-05,6.14e-05
72,2716.02,0.3008,0.24687,0.96134,0.93396,0.98212,0.9887,0.77952,0.80803,0.35153,1.50894,5.942e-05,5.942e-05,5.942e-05
73,2752.84,0.29973,0.24167,0.95818,0.92451,0.97461,0.97031,0.76996,0.78771,0.34862,1.49312,5.744e-05,5.744e-05,5.744e-05
74,2789.99,0.30061,0.23844,0.95814,0.91759,0.98465,0.98771,0.77774,0.78898,0.35575,1.49097,5.546e-05,5.546e-05,5.546e-05
75,2826.73,0.29821,0.23611,0.95791,0.96439,0.97846,0.98588,0.78055,0.79205,0.33657,1.48025,5.348e-05,5.348e-05,5.348e-05
76,2864,0.2933,0.23521,0.95942,0.95078,0.98115,0.98526,0.77304,0.80015,0.33962,1.49745,5.15e-05,5.15e-05,5.15e-05
77,2900.26,0.29098,0.23353,0.95565,0.93377,0.97857,0.98669,0.76589,0.80926,0.35995,1.50639,4.952e-05,4.952e-05,4.952e-05
78,2937.82,0.29001,0.23,0.95805,0.93064,0.98573,0.98834,0.77408,0.79123,0.32699,1.49896,4.754e-05,4.754e-05,4.754e-05
79,2976.55,0.28678,0.22548,0.95599,0.94503,0.98789,0.9884,0.78717,0.7735,0.32645,1.48187,4.556e-05,4.556e-05,4.556e-05
80,3015.2,0.28496,0.22724,0.95185,0.97891,0.94183,0.97335,0.77706,0.77089,0.33092,1.47014,4.358e-05,4.358e-05,4.358e-05
81,3052.99,0.28126,0.22528,0.95147,0.96766,0.94632,0.97691,0.77434,0.7726,0.32787,1.47597,4.16e-05,4.16e-05,4.16e-05
82,3089.81,0.27956,0.2238,0.94997,0.98271,0.93468,0.96774,0.77282,0.78801,0.34463,1.49054,3.962e-05,3.962e-05,3.962e-05
83,3126.69,0.28552,0.22651,0.95155,0.96288,0.94213,0.97045,0.77887,0.78261,0.33401,1.47991,3.764e-05,3.764e-05,3.764e-05
84,3163.26,0.28335,0.2257,0.95345,0.91593,0.97238,0.97765,0.78149,0.77326,0.33597,1.46434,3.566e-05,3.566e-05,3.566e-05
85,3200.32,0.27969,0.2212,0.94983,0.94426,0.97407,0.98329,0.78164,0.77814,0.33459,1.46876,3.368e-05,3.368e-05,3.368e-05
86,3236.65,0.27805,0.21906,0.94887,0.95316,0.97467,0.98269,0.78265,0.77752,0.3393,1.46646,3.17e-05,3.17e-05,3.17e-05
87,3273.45,0.28258,0.22265,0.95478,0.94311,0.97575,0.97925,0.77909,0.77918,0.34168,1.46565,2.972e-05,2.972e-05,2.972e-05
88,3310.81,0.27594,0.22089,0.94797,0.92914,0.97676,0.9806,0.78644,0.7667,0.33865,1.44941,2.774e-05,2.774e-05,2.774e-05
89,3348.93,0.27699,0.21824,0.94852,0.91339,0.9794,0.96721,0.77993,0.76732,0.34131,1.45439,2.576e-05,2.576e-05,2.576e-05
90,3387.14,0.2681,0.21625,0.94781,0.94753,0.96797,0.98038,0.78593,0.76561,0.33016,1.45148,2.378e-05,2.378e-05,2.378e-05
91,3445.79,0.212,0.18368,0.91896,0.93772,0.97676,0.98292,0.76425,0.79538,0.36455,1.49378,2.18e-05,2.18e-05,2.18e-05
92,3481.68,0.21745,0.18473,0.93162,0.92497,0.98111,0.98204,0.7729,0.78327,0.35196,1.47922,1.982e-05,1.982e-05,1.982e-05
93,3517.32,0.20273,0.17357,0.91194,0.9408,0.97573,0.98373,0.77568,0.77595,0.34336,1.47615,1.784e-05,1.784e-05,1.784e-05
94,3552.94,0.19445,0.16262,0.90488,0.93451,0.97589,0.98243,0.77745,0.7814,0.34506,1.48295,1.586e-05,1.586e-05,1.586e-05
95,3588.54,0.19473,0.16244,0.90305,0.95836,0.96458,0.98345,0.77506,0.78106,0.33985,1.48274,1.388e-05,1.388e-05,1.388e-05
96,3623.56,0.19168,0.17262,0.90593,0.93236,0.97646,0.98181,0.77716,0.77306,0.3402,1.47027,1.19e-05,1.19e-05,1.19e-05
97,3660.12,0.19082,0.16039,0.90596,0.95819,0.96497,0.98376,0.78079,0.76954,0.34013,1.46901,9.92e-06,9.92e-06,9.92e-06
98,3698.43,0.18941,0.16063,0.90231,0.95526,0.96637,0.98454,0.77758,0.77128,0.33883,1.469,7.94e-06,7.94e-06,7.94e-06
99,3735.9,0.1854,0.15591,0.9009,0.95573,0.96534,0.98324,0.77745,0.77032,0.3317,1.47051,5.96e-06,5.96e-06,5.96e-06
100,3772.24,0.18471,0.16487,0.89721,0.95391,0.96554,0.98582,0.77844,0.76997,0.33207,1.47144,3.98e-06,3.98e-06,3.98e-06
